Model,Accuracy (%),F1 Score (%),AUC-ROC,Gender DP diff,Gender min DIR,Race_Ethnicity DP diff,Race_Ethnicity min DIR,Religion DP diff,Religion min DIR,Continent DP diff,Continent min DIR
Decision Tree,90.9,67.1,0.929,0.1265,0.3243,0.1912,0.0474,0.1183,0.2636,0.1647,0.2132
Random Forest,93.7,75.4,0.977,0.115,0.3492,0.1799,0.0446,0.1328,0.1783,0.1713,0.1567
XGBoost,96.5,87.9,0.993,0.1326,0.3731,0.2106,0.0444,0.1738,0.1114,0.2038,0.1477
KNN,92.9,73.0,0.963,0.1353,0.2406,0.1685,0.0429,0.1188,0.2151,0.1684,0.1337
Logistic Regression,89.9,60.8,0.931,0.2293,0.2042,0.1444,0.1071,0.076,0.4503,0.1803,0.2391
SVM,94.6,80.8,0.984,0.1351,0.3168,0.1828,0.0942,0.1093,0.3441,0.2157,0.0463
